Level	No	Chinese	Pinyin	English
2	38	左边	zuǒbiān	left
2	39	右边	yòubiān	right
2	40	外	wài	outside
2	41	旁边	pángbiān	side
2	42	一下	yīxià	in a short while
2	43	早上	zǎoshàng	morning
2	44	晚上	wǎnshàng	night
2	45	小时	xiǎoshí	hour
2	46	时间	shíjiān	time
2	47	去年	qùnián	last year
2	48	日	rì	date
2	49	生日	shēngrì	birthday
2	50	哥哥	gēge	older brother
2	51	姐姐	jiějie	older sister
2	52	弟弟	dìdi	younger brother
2	53	妹妹	mèimei	younger sister
2	54	丈夫	zhàngfu	husband
2	55	妻子	qīzi	wife
2	56	孩子	háizi	child
2	57	男人	nánrén	man
2	58	女人	nǚrén	woman
2	59	服务员	fúwùyuán	waiter
2	60	鱼	yú	fish
2	61	羊肉	yángròu	mutton
2	62	牛奶	niúnǎi	milk
2	63	鸡蛋	jīdàn	egg
2	64	西瓜	xīguā	watermelon
2	65	咖啡	kāfēi	coffee
2	66	雪	xuě	snow
2	67	药	yào	medicine
2	68	手机	shǒujī	cellphone
2	69	手表	shǒubiǎo	watch
2	70	眼睛	yǎnjīng	eye
2	71	身体	shēntǐ	body
2	72	公共汽车	gōnggòngqìchē	bus
2	73	报纸	bàozhǐ	newspaper
2	74	门	mén	door
2	75	题	tí	topic, item
2	76	课	kè	lesson
2	77	姓	xìng	surname
2	78	问题	wèntí	question
2	79	事情	shìqing	matter
2	80	考试	kǎoshì	exam
2	81	票	piào	ticket
2	82	意思	yìsi	meaning
2	83	颜色	yánsè	color
2	84	铅笔	qiánbǐ	pencil
2	85	面条	miàntiáo	noodle
2	86	火车站	huǒchēzhàn	train station
2	87	公司	gōngsī	company
2	88	宾馆	bīngguǎn	hotel
2	89	说话	shuōhuà	talk
2	90	卖	mài	sell
2	91	问	wèn	ask
2	92	走	zǒu	walk
2	93	进	jìn	enter
2	94	出	chū	come
2	95	跑步	pǎobù	run
2	96	到	dào	arrive
2	97	穿	chuān	wear
2	98	洗	xǐ	wash
2	99	给	gěi	give
2	100	找	zhǎo	find
2	101	懂	dǒng	understand
2	102	笑	xiào	smile
2	103	告诉	gàosù	tell
2	104	准备	zhǔnbèi	prepare
2	105	开始	kāishǐ	begin
2	106	介绍	jièshào	introduce
2	107	帮助	bāngzhù	help
2	108	玩	wán	play
2	109	送	sòng	present
2	110	等	děng	wait
2	111	让	ràng	let
2	112	起床	qǐchuáng	get up
2	113	唱歌	chànggē	sing
2	114	跳舞	tiàowǔ	dance
2	115	旅游	lǚyóu	travel
2	116	上班	shàngbān	be on duty
2	117	生病	shēngbìng	get ill, get sick
2	118	休息	xiūxi	rest
2	119	运动	yùndòng	exercise
2	120	游泳	yóuyǒng	swim
2	121	踢足球	tīzúqiú	play footbal
2	122	打篮球	dǎlánqiú	play basketball
2	123	完	wán	finish
2	124	觉得	juédé	think
2	125	知道	zhīdao	know
2	126	希望	xīwàng	hope
2	127	可以	kěyǐ	can
2	128	要	yào	want
2	129	可能	kěnéng	may
2	130	高	gāo	tall
2	131	红	hóng	red
2	132	白	bái	white
2	133	黑	hēi	black
2	134	忙	máng	busy
2	135	快	kuài	fast
2	136	慢	màn	slow
2	137	远	yuǎn	far
2	138	近	jìn	close
2	139	好吃	hǎochī	delicious
2	140	累	lèi	tired
2	141	长	cháng	long
2	142	新	xīn	new
2	143	贵	guì	expensive
2	144	便宜	piányi	cheap
2	145	晴	qíng	fine
2	146	阴	yīn	cloudy
2	147	错	cuò	wrong
2	148	快乐	kuàilè	happy
2	149	对	duì	to
2	150	对	duì	right
3	1	阿姨	āyí	aunt
3	2	啊	a	ah
3	3	矮	ǎi	short
3	4	爱好	àihào	hobby
3	5	安静	ānjìng	Be quiet
3	6	把	bǎ	hold
3	7	班	bān	class
3	8	搬	bān	move
3	9	半	bàn	half
3	10	办法	bànfǎ	Way
3	11	办公室	bàngōngshì	Office
3	12	帮忙	bāngmáng	Help
3	13	包	bāo	package
3	14	饱	bǎo	full
3	15	北方	běifāng	north
3	16	被	bèi	cover
3	17	鼻子	bízi	nose
3	18	比较	bǐjiào	compare
3	19	比赛	bǐsài	Match
3	20	笔记本	bǐjìběn	notebook
3	21	必须	bìxū	Must
3	22	变化	biànhuà	change
3	23	别人	biéren	Others
3	24	冰箱	bīngxiāng	Refrigerator
3	25	菜单	càidān	menu
3	26	参加	cānjiā	participate in
3	27	草	cǎo	grass
3	28	层	céng	layer
3	29	差	chà	bad
3	30	超市	chāoshì	Supermarket
3	31	衬衫	chènshān	shirt
3	32	成绩	chéngjì	achievement
3	33	城市	chéngshì	City
3	34	迟到	chídào	Late
3	35	除了	chúle	except, besides
3	36	船	chuán	ship
3	37	春	chūn	spring
3	38	词典	cídiǎn	Dictionaries
3	39	聪明	cōngming	clever
3	40	打扫	dǎsǎo	Clean
3	41	打算	dǎsuàn	Plan
3	42	带	dài	belt
3	43	担心	dānxīn	Worry
3	44	蛋糕	dàngāo	Cake
3	45	当然	dāngrán	Of course
3	46	地	de	
3	47	灯	dēng	lamp
3	48	地方	dìfang	local
3	49	地铁	dìtiě	metro
3	50	地图	dìtú	Map
3	51	电梯	diàntī	Elevator.
3	52	电子邮件	diànzǐyóujiàn	E-mail
3	53	东	dōng	east
3	54	冬	dōng	winter
3	55	动物	dòngwù	Animal
3	56	短	duǎn	short
3	57	段	duàn	paragraph
3	58	锻炼	duànliàn	Physical exercise
3	59	多么	duōme	such
3	60	饿	è	hungry
3	61	不但……而且……	búdàn…érqiě…	not only…but also…
3	62	耳朵	ěrduo	Ears
3	63	发	fā	send out
3	64	发烧	fāshāo	Have a fever
3	65	发现	fāxiàn	find, discover
3	66	方便	fāngbiàn	convenient
3	67	放	fàng	discharge
3	68	放心	fàngxīn	Don’t worry
3	69	分	fēn	minute
3	70	附近	fùjìn	nearby
3	71	复习	fùxí	Review
3	72	干净	gānjìng	clean
3	73	感兴趣	gǎnxìngqù	be intretested in
3	74	感冒	gǎnmào	get a cold
3	75	刚才	gāngcái	just
3	76	个子	gèzi	height
3	77	跟	gēn	with
3	78	根据	gēnjù	according to
3	79	更	gèng	more
3	80	公斤	gōngjīn	Kg.
3	81	公园	gōngyuán	Park
3	82	故事	gùshi	Story
3	83	刮风	guāfēng	Windy
3	84	关	guān	shut
3	85	关系	guānxì	relationship
3	86	关心	guānxīn	Care for
3	87	关于	guānyú	about
3	88	国家	guójiā	Country
3	89	过去	guòqù	Past times
3	90	过（动词）	guò	pass
3	91	还是	háishì	still
3	92	害怕	hàipà	Fear
3	93	黑板	hēibǎn	blackboard
3	94	后来	hòulái	later
3	95	护照	hùzhào	passport
3	96	花（动词）	huā	spend
3	97	花（名词）	huā	flower
3	98	画	huà	painting
3	99	坏	huài	bad
3	100	欢迎	huānyíng	Welcome
3	101	还（动词）	huán	Return
3	102	环境	huánjìng	Environment
3	103	换	huàn	change
3	104	黄河	huánghé	Yellow River
3	105	回答	huídá	Answer
3	106	会议	huìyì	Meeting
3	107	或者	huòzhě	perhaps
3	108	几乎	jīhū	almost
3	109	机会	jīhuì	Opportunity
3	110	极	jí	extremely
3	111	记得	jìde	remember
3	112	季节	jìjié	Season
3	113	检查	jiǎnchá	inspect
3	114	简单	jiǎndān	simple
3	115	健康	jiànkāng	Healthy
3	116	见面	jiànmiàn	meet
3	117	讲	jiǎng	speak
3	118	教	jiāo	teach
3	119	角	jiǎo	horn
3	120	脚	jiǎo	foot
3	121	接	jiē	pick,get
3	122	街道	jiēdào	Street
3	123	结婚	jiéhūn	marry
3	124	结束	jiéshù	End
3	125	节目	jiémù	program
3	126	节日	jiérì	festival
3	127	解决	jiějué	Solve
3	128	借	jiè	borrow
3	129	经常	jīngcháng	Often
3	130	经过	jīngguò	After, through
3	131	经理	jīnglǐ	manager
3	132	久	jiǔ	long
3	133	旧	jiù	old,used
3	134	句子	jùzi	sentence
3	135	决定	juédìng	Decision
3	136	渴	kě	thirsty
3	137	可爱	kě’ài	Lovely
3	138	刻	kè	moment
3	139	客人	kèrén	Guest
3	140	空调	kōngtiáo	Air conditioner
3	141	口	kǒu	mouth
3	142	哭	kū	cry
3	143	裤子	kùzi	trousers
3	144	筷子	kuàizi	chopsticks
3	145	蓝	lán	blue
3	146	老	lǎo	old
3	147	离开	líkāi	leave
3	148	礼物	lǐwù	gift
3	149	历史	lìshǐ	History
3	150	脸	liǎn	face
3	151	聊天	liáotiān	chat
3	152	练习	liànxí	Practice
3	153	辆	liàng	Car
3	154	了解	liǎojiě	understand
3	155	邻居	línjū	neighbor
3	156	留学	liúxué	Overseas Study
3	157	楼	lóu	floor
3	158	绿	lǜ	green
3	159	马	mǎ	Horse
3	160	马上	mǎshàng	Right off
3	161	满意	mǎnyì	Satisfied
3	162	帽子	màozi	Hat
3	163	米	mǐ	rice
3	164	面包	miànbāo	Bread
3	165	明白	míngbai	clear
3	166	拿	ná	take
3	167	奶奶	nǎinai	grandma
3	168	南	nán	south
3	169	难	nán	difficult
3	170	难过	nánguò	sad
3	171	年级	niánjí	grade
3	172	年轻	niánqīng	Young
3	173	鸟	niǎo	bird
3	174	努力	nǔlì	Strive
3	175	爬山	páshān	Mountain climbing
3	176	盘子	pánzi	plate
3	177	胖	pàng	fat
3	178	啤酒	píjiǔ	Beer
3	179	皮鞋	píxié	leather shoes
3	180	瓶子	píngzi	bottle
3	181	其实	qíshí	actually
3	182	其他	qítā	Other
3	183	骑	qí	ride
3	184	奇怪	qíguài	strange
3	185	起来	qǐlái	get up
3	186	起飞	qǐfēi	take off
3	187	清楚	qīngchu	clear
3	188	请假	qǐngjià	ask for leave
3	189	秋	qiū	autumn
3	190	裙子	qúnzi	skirt
3	191	然后	ránhòu	Then
3	192	热情	rèqíng	Enthusiasm
3	193	认为	rènwéi	think
3	194	认真	rènzhēn	earnest
3	195	容易	róngyì	easily
3	196	如果	rúguǒ	If
3	197	伞	sǎn	umbrella
3	198	上网	shàngwǎng	Surf the Internet
3	199	生气	shēngqì	get angry
3	200	声音	shēngyīn	voice
3	201	试	shì	try
3	202	世界	shìjiè	world
3	203	瘦	shòu	thin
3	204	舒服	shūfu	comfortable
3	205	叔叔	shūshu	uncle
3	206	树	shù	tree
3	207	数学	shùxué	Mathematics
3	208	刷牙	shuāyá	Brush one’s teeth
3	209	双	shuāng	double, pair
3	210	水平	shuǐpíng	level
3	211	司机	sījī	Driver
3	212	太阳	tàiyáng	sun
3	213	特别	tèbié	Especially
3	214	疼	téng	hurt
3	215	提高	tígāo	increase
3	216	体育	tǐyù	Sports
3	217	甜	tián	sweet
3	218	条	tiáo	strip
3	219	同事	tóngshì	Colleague
3	220	同意	tóngyì	Agree
3	221	头发	tóufa	Hair
3	222	突然	tūrán	suddenly
3	223	图书馆	túshūguǎn	Library
3	224	腿	tuǐ	leg
3	225	完成	wánchéng	complete
3	226	碗	wǎn	bowl
3	227	万	wàn	ten thousand
3	228	忘记	wàngjì	forget
3	229	为	wèi	for
3	230	为了	wèile	in order to
3	231	位	wèi	position
3	232	文化	wénhuà	Culture
3	233	西	xī	west
3	234	习惯	xíguàn	Habit
3	235	洗手间	xǐshǒujiān	Restroom
3	236	洗澡	xǐzǎo	Take a shower
3	237	夏	xià	summer
3	238	先	xiān	first
3	239	香蕉	xiāngjiāo	Banana
3	240	相信	xiāngxìn	believe
3	241	向	xiàng	towards
3	242	像	xiàng	image
3	243	小心	xiǎoxīn	watch out
3	244	校长	xiàozhǎng	Principal
3	245	新闻	xīnwén	news
3	246	新鲜	xīnxiān	fresh
3	247	信用卡	xìnyòngkǎ	Credit card
3	248	行李箱	xínglixiāng	Trunk
3	249	熊猫	xióngmāo	Panda
3	250	需要	xūyào	Need
3	251	选择	xuǎnzé	Choice
3	252	要求	yāoqiú	Requirement
3	253	爷爷	yéye	grandpa
3	254	一定	yídìng	Certain
3	255	一共	yígòng	Altogether
3	256	一会儿	yíhuìr	a while
3	257	一样	yíyàng	equally
3	258	以前	yǐqián	before
3	259	一般	yìbān	commonly
3	260	一边	yìbiān	One side
3	261	一直	yìzhí	always
3	262	音乐	yīnyuè	Music
3	263	银行	yínháng	Bank
3	264	饮料	yǐnliào	Drinks
3	265	应该	yīnggāi	Should
3	266	影响	yǐngxiǎng	Influence
3	267	用	yòng	use
3	268	游戏	yóuxì	Game
3	269	有名	yǒumíng	Famous
3	270	又	yòu	again
3	271	遇到	yùdào	encounter
3	272	元	yuán	element; yuan
3	273	愿意	yuànyì	Be willing
3	274	月亮	yuèliang	Moon
3	275	越	yuè	the more
3	276	站	zhàn	station
3	277	张	zhāng	Zhang (surname)
3	278	长（动词）	zhǎng	grow
3	279	着急	zháojí	Worry
3	280	照顾	zhàogù	look after
3	281	照片	zhàopiàn	Photo
3	282	照相机	zhàoxiàngjī	Camera
3	283	只（量词）	zhī	(measure word)
3	284	只（副词）	zhǐ	only
3	285	只有……才……	zhǐyǒu…cái…	only if
3	286	中文	zhōngwén	Chinese
3	287	中间	zhōngjiān	Middle
3	288	终于	zhōngyú	finally
3	289	种	zhǒng	species
3	290	重要	zhòngyào	important
3	291	周末	zhōumò	Weekend
3	292	主要	zhǔyào	main
3	293	注意	zhùyì	Be careful
3	294	自己	zìjǐ	Own, self
3	295	自行车	zìxíngchē	Bicycle
3	296	总是	zǒngshì	always
3	297	嘴	zuǐ	mouth
3	298	最后	zuìhòu	Last
3	299	最近	zuìjìn	lately
3	300	作业	zuòyè	homework
4	1	爱情	àiqíng	Love
4	2	安排	ānpái	arrange
4	3	安全	ānquán	security
4	4	按时	ànshí	on time
4	5	按照	ànzhào	according to
4	6	百分之	bǎifēnzhī	percent
4	7	棒	bàng	stick；excellent
4	8	包子	bāozi	Steamed stuffed bun
4	9	保护	bǎohù	protect
4	10	保证	bǎozhèng	ensure
4	11	抱	bào	Hold
4	12	抱歉	bàoqiàn	feel sorry
4	13	报名	bàomíng	sign up
4	14	倍	bèi	times
4	15	本来	běnlái	originally
4	16	笨	bèn	stupid
4	17	比如	bǐrú	such as
4	18	毕业	bìyè	graduation
4	19	遍	biàn	Times
4	20	标准	biāozhǔn	standard
4	21	表格	biǎogé	form
4	22	表示	biǎoshì	Express
4	23	表演	biǎoyǎn	perform
4	24	表扬	biǎoyáng	Praise
4	25	饼干	bǐnggān	Biscuits
4	26	并且	bìngqiě	also
4	27	博士	bóshì	doctor
4	28	不过	búguò	However
4	29	不得不	bùdébù	have to
4	30	不管	bùguǎn	no matter
4	31	不仅	bùjǐn	not only
4	32	部分	bùfen	Part
4	33	擦	cā	wipe
4	34	猜	cāi	guess
4	35	材料	cáiliào	Material Science
4	36	参观	cānguān	visit
4	37	餐厅	cāntīng	Restaurant
4	38	差不多	chàbuduō	Almost
4	39	尝	cháng	taste
4	40	长城	chángchéng	The Great Wall
4	41	长江	chángjiāng	The Yangtze River
4	42	场	chǎng	site
4	43	超过	chāoguò	Exceed
4	44	厕所	cèsuǒ	Toilet
4	45	成功	chénggōng	Success
4	46	成为	chéngwéi	Become
4	47	诚实	chéngshí	honest
4	48	乘坐	chéngzuò	ride
4	49	吃惊	chījīng	Be amazed
4	50	重新	chóngxīn	again
4	51	抽烟	chōuyān	smoking
4	52	出差	chūchāi	A business travel
4	53	出发	chūfā	Set out
4	54	出生	chūshēng	Birth
4	55	出现	chūxiàn	Appear
4	56	厨房	chúfáng	Kitchen
4	57	传真	chuánzhēn	Fax
4	58	窗户	chuānghu	Window
4	59	词语	cíyǔ	terms, words
4	60	从来	cónglái	Always
4	61	粗心	cūxīn	careless
4	62	存	cún	Deposit
4	63	错误	cuòwù	error
4	64	答案	dá’àn	Answer
4	65	打招呼	dǎzhāohu	Say hello
4	66	打扮	dǎban	dress up
4	67	打扰	dǎrǎo	Disturb
4	68	打印	dǎyìn	Print
4	69	打折	dǎzhé	Discount
4	70	打针	dǎzhēn	To make an injection
4	71	大概	dàgài	Probably
4	72	大使馆	dàshǐguǎn	Embassy
4	73	大约	dàyuē	about
4	74	戴	dài	wear
4	75	大夫	dàifu	Doctor
4	76	当	dāng	When
4	77	当时	dāngshí	at that time
4	78	刀	dāo	knife
4	79	导游	dǎoyóu	Guide
4	80	倒	dào	inverted
4	81	到处	dàochù	everywhere
4	82	到底	dàodǐ	To the end
4	83	道歉	dàoqiàn	apologize
4	84	得意	déyì	Proud
4	85	地点	dìdiǎn	location
4	86	得（助动词）	děi	have to
4	87	登机牌	dēngjīpái	Boarding pass
4	88	等 （动）	děng	Wait (verb)
4	89	低	dī	low
4	90	底	dǐ	bottom
4	91	地球	dìqiú	earth
4	92	地址	dìzhǐ	address
4	93	掉	diào	fall
4	94	调查	diàochá	investigation
4	95	丢	diū	lose
4	96	动作	dòngzuò	action
4	97	堵车	dǔchē	Traffic jam
4	98	肚子	dùzi	belly
4	99	短信	duǎnxìn	Short message
4	100	对于	duìyú	about
4	101	对话	duìhuà	dialogue
4	102	对面	duìmiàn	Opposite side
4	103	而	ér	and
4	104	儿童	értóng	children
4	105	发生	fāshēng	Happen
4	106	发展	fāzhǎn	Development
4	107	法律	fǎlǜ	Law
4	108	翻译	fānyì	translate
4	109	烦恼	fánnǎo	annoyance
4	110	反对	fǎnduì	Opposition
4	111	方法	fāngfǎ	Method
4	112	方面	fāngmiàn	Aspect
4	113	方向	fāngxiàng	direction
4	114	房东	fángdōng	landlord
4	115	放弃	fàngqì	give up
4	116	放暑假	fàngshǔjià	summer vacation
4	117	放松	fàngsōng	Relax
4	118	份	fèn	share (measure word)
4	119	丰富	fēngfù	rich
4	120	否则	fǒuzé	otherwise
4	121	符合	fúhé	accord with
4	122	富	fù	rich
4	123	付款	fùkuǎn	pay
4	124	父亲	fùqīn	father
4	125	复印	fùyìn	To copy
4	126	复杂	fùzá	complex
4	127	负责	fùzé	Be responsible for
4	128	改变	gǎibiàn	change
4	129	干杯	gānbēi	Cheers!
4	130	赶	gǎn	catch up with
4	131	敢	gǎn	dare
4	132	感动	gǎndòng	Be moved
4	133	感觉	gǎnjué	feel
4	134	感情	gǎnqíng	feeling
4	135	感谢	gǎnxiè	Thank
4	136	干	gān	dry
4	137	刚	gāng	just
4	138	高速公路	gāosùgōnglù	Expressway
4	139	胳膊	gēbo	Arm
4	140	各	gè	various
4	141	公里	gōnglǐ	kilometre
4	142	工资	gōngzī	wages
4	143	功夫	gōngfu	Kungfu
4	144	共同	gòngtóng	common
4	145	够	gòu	enough
4	146	购物	gòuwù	Shopping
4	147	估计	gūjì	estimate
4	148	鼓励	gǔlì	encourage
4	149	顾客	gùkè	customer
4	150	故意	gùyì	deliberately
4	151	挂	guà	hang
4	152	关键	guānjiàn	key
4	153	观众	guānzhòng	Audience
4	154	管理	guǎnlǐ	Administration
4	155	光	guāng	light
4	156	广播	guǎngbō	Radio broadcast
4	157	广告	guǎnggào	Advertisement
4	158	逛	guàng	Stroll
4	159	规定	guīdìng	Regulations
4	160	国际	guójì	international
4	161	国籍	guójí	nationality
4	162	果汁	guǒzhī	fruit juice
4	163	过程	guòchéng	process
4	164	海洋	hǎiyáng	ocean
4	165	害羞	hàixiū	Shy
4	166	寒假	hánjià	The winter vacation
4	167	汗	hàn	sweat
4	168	航班	hángbān	flight
4	169	好处	hǎochù	benefit
4	170	好像	hǎoxiàng	Be like, seem
4	171	号码	hàomǎ	number
4	172	合格	hégé	qualified
4	173	合适	héshì	appropriate
4	174	盒子	hézi	Box
4	175	厚	hòu	thick
4	176	后悔	hòuhuǐ	regret
4	177	护士	hùshi	Nurse
4	178	互联网	hùliánwǎng	Internet
4	179	互相	hùxiāng	each other
4	180	怀疑	huáiyí	doubt
4	181	回忆	huíyì	Memory
4	182	活动	huódòng	activity
4	183	活泼	huópō	lively
4	184	火	huǒ	fire
4	185	获得	huòdé	Get
4	186	基础	jīchǔ	Basics
4	187	激动	jīdòng	Excited
4	188	积极	jījí	positive
4	189	积累	jīlěi	accumulation
4	190	及时	jíshí	timely
4	191	即使	jíshǐ	even if
4	192	寄	jì	send
4	193	记者	jìzhě	Reporter
4	194	计划	jìhuà	plan
4	195	既然	jìrán	although
4	196	技术	jìshù	technology
4	197	继续	jìxù	Continue
4	198	家具	jiājù	furniture
4	199	加班	jiābān	overtime work
4	200	加油站	jiāyóuzhàn	Gas station
4	201	假	jiǎ	false
4	202	价格	jiàgé	Price
4	203	坚持	jiānchí	Insist
4	204	减肥	jiǎnféi	Reduce weight
4	205	减少	jiǎnshǎo	reduce
4	206	建议	jiànyì	proposal
4	207	将来	jiānglái	future
4	208	奖金	jiǎngjīn	bonus
4	209	降低	jiàngdī	reduce
4	210	降落	jiàngluò	land
4	211	交	jiāo	hand over
4	212	交流	jiāoliú	Communication
4	213	交通	jiāotōng	traffic
4	214	郊区	jiāoqū	Suburb
4	215	骄傲	jiāo’ào	Proud
4	216	饺子	jiǎozi	Dumplings
4	217	教授	jiàoshòu	professor
4	218	教育	jiàoyù	education
4	219	接受	jiēshòu	accept
4	220	接着	jiēzhe	Next
4	221	结果	jiéguǒ	Result
4	222	节	jié	section, festival
4	223	节约	jiéyuē	save
4	224	解释	jiěshì	explain
4	225	尽管	jǐnguǎn	although
4	226	紧张	jǐnzhāng	Nervous
4	227	进行	jìnxíng	in process of
4	228	禁止	jìnzhǐ	prohibit
4	229	精彩	jīngcǎi	Marvellous
4	230	经济	jīngjì	Economics
4	231	经历	jīnglì	experience
4	232	经验	jīngyàn	experience
4	233	京剧	jīngjù	Beijing opera
4	234	警察	jǐngchá	Policeman
4	235	景色	jǐngsè	scenery
4	236	竟然	jìngrán	Unexpectedly
4	237	竞争	jìngzhēng	compete
4	238	镜子	jìngzi	Mirror
4	239	究竟	jiūjìng	exactly
4	240	举	jǔ	lift
4	241	举办	jǔbàn	hold
4	242	举行	jǔxíng	hold
4	243	拒绝	jùjué	refuse
4	244	距离	jùlí	distance
4	245	聚会	jùhuì	Party
4	246	开玩笑	kāiwánxiào	Make fun of
4	247	开心	kāixīn	Happy
4	248	看法	kànfǎ	view
4	249	考虑	kǎolǜ	Consider
4	250	烤鸭	kǎoyā	Roasted Duck
4	251	棵	kē	Tree (measure word)
4	252	科学	kēxué	science
4	253	咳嗽	késou	cough
4	254	可怜	kělián	Poor
4	255	可是	kěshì	however
4	256	可惜	kěxī	unfortunately
